id,name,logo
97,Act in Games,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2025/04/act_in_games.png
98,Abysse Corp,
99,Ankama,
100,Asmodee,https://cdn.svc.asmodee.net/production-asmodeefrv2/uploads/2024/05/LOGO_ASMODEE-1.png
101,Asyncron,
102,Atalia,https://www.atalia-jeux.com/img/atalia-jeux-logo-1489513199.jpg
103,Tiki,https://www.tikieditions.com/wp-content/uploads/2020/05/cropped-logo-250-250.png
104,Blue Orange,https://blueorangegames.eu/wp-content/uploads/thegem-logos/logo_2f8ee8a896e01b1b1f5df5ebcef34819_2x.png
105,Days of Wonder,https://ncdn1.daysofwonder.com/fr/img/boardgames_logo.png
106,Purple Brain Creations,
107,Blue Cocker Games,https://bluecocker.com/wp-content/themes/bluecockerunderscore/images/logo.svg
109,Bankiiiz Editions,https://wordpress.blackrockgames.fr/wp-content/uploads/2022/10/Sans-titre-10.jpg
110,Flip Flap Editions,
111,Ludonaute,https://www.ludonaute.fr/wp-content/uploads/2014/12/LOGO.png
112,Paille Editions,
113,Grain de Créa,
114,OZ éditions,
115,Edition 404,
116,Jeux Opla,https://www.jeux-opla.fr/wp-content/uploads/cropped-logo_opla-1-1.png
117,Old Chap,
118,Blackrock Games,https://cf.geekdo-images.com/hKD26bAH_-2lit7oihZtQA__itemrep/img/QXrsckBZaQQjAL_PdcD3tPCl9qI=/fit-in/246x300/filters:strip_icc()/pic7955792.png
119,Le Droit de Perdre,https://ledroitdeperdre.com/img/prestashop-logo-1603115177.jpg
122,Fun Forge,https://funforge.fr/cdn/shop/files/logo_2018-fondnoir.png?v=1703149432&width=180
123,Haba,https://www.haba-play.com/haba/assets/images/logo-haba.svg
124,Libellud,https://cdn.trictrac.net/discourse/original/3X/0/f/0f23476ebc64de67d08902f13e34ef32fe087916.png
125,Captain Macaque,
126,Bioviva,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2019/10/bioviva.png
127,Game Flow,https://img.mailinblue.com/3995611/images/rnb/original/6124b1c14ec79830fb0e54b8.png
128,Cocktail Games,https://www.boitecast.net/wp-content/uploads/2014/12/cocktail-games-logo-296x300.png
129,Scorpion Masqué,https://www.scorpionmasque.com/sites/scorpionmasque.com/files/logo-100px.png
130,Catch Up Games,https://catchupgames.com/wp-content/uploads/2022/10/logo_fond_blanc.png
131,Igiari,
132,The Flying Games,https://wordpress.blackrockgames.fr/wp-content/uploads/2022/11/The-flying-games-logo-1024x791.jpg
133,Djeco,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
134,Morning Player,
135,Blam!,https://blam-edition.com/wp-content/uploads/2023/04/image-4-395x175-c-default.png
136,Super Meeple,http://www.supermeeple.com/wp-content/uploads/2015/02/logo-supermeeple-margin-top1.png
137,Lui-même,
138,Gigamic,https://upload.wikimedia.org/wikipedia/commons/3/32/Logo_Gigamic_HD.jpg
139,Bombyx,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2017/04/1808.png
140,Devil Pig Games,
141,Docteur Pilule,
142,Edge,
143,Geek Attitude Games,https://www.jeuxdenim.be/images/sites/GeekAttitudeGames-2020-02-02-11-54-13.jpg
144,Goliath,https://cdn.jeux-goliath.com/wp-content/themes/goliath/img/goliath-logo.png
145,Hurrican Edition,
146,Iello,https://iello.fr/wp-content/uploads/2021/08/logo-iello.svg
147,Ilopeli,
148,Intrafin,https://cdn1.philibertnet.com/c/8467-category_default/intrafin.jpg
149,La Boite de Jeu,https://laboitedejeu.fr/wp-content/uploads/2018/02/LBDJ-logo.png
150,Letheia,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2023/04/letheia.png
151,Lumberjacks,https://lumberjacks-studio.com/wp-content/uploads/2022/06/Logo-Site-final.png
152,Chèvre édition,
153,Matagot,https://www.matagot.com/matagot-friends-logo.jpeg
154,Monolith,https://monolithedition.com/wp-content/uploads/2022/09/cropped-Monolith_Logo_2019-01-Light-v2-1.png
155,Origames,https://www.origames.fr/wp-content/uploads/2023/03/Logo-Origames-Editeur-scaled-1-150x87.png
157,Oya,
158,Pearl Games,
159,Wilson jeux,https://www.sancerre-lipopette.fr/img/m/61.jpg
160,Pixie Games,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2017/04/8238107383cbacbc905f81e8bddc143491c3.jpeg
161,Ravensburger,https://cf.geekdo-images.com/FNjyvxby-tnAx1UfqVNwPw__itemrep/img/MxPK4J_urbgkUdEEL9XmE2SewdQ=/fit-in/246x300/filters:strip_icc()/pic417413.jpg
162,Repos Prod,https://www.rprod.com/images/logo-repos.png
163,Runes Editions,
164,Smart Games,https://d32bxxnq6qs937.cloudfront.net/sites/all/themes/zircon/images/logo.svg
165,Space Cowboy,https://cf.geekdo-images.com/ZyCgVPxUdzSg4dUx5cCzVw__itemrep/img/buWc8E5B89nx-iiKoKscBEfhziE=/fit-in/246x300/filters:strip_icc()/pic2617614.png
166,Superlude,
167,Sweet November,
168,Renegade France,
169,Prizonners,
170,Deal Prod,
171,Casus Belli Diffusion,
172,Roussignol Editions,
173,Queen Games,
174,Sit Down!,
175,Lucky Duck Games,https://1565601437.rsc.cdn77.org/france/img/logo-1742845988.jpg
176,Brain Games,https://brain-games.com/cdn/shop/files/Brain_Games_retail_logo_RGB_1_440x.jpg?v=1682605717
177,Nut’s Publishing ,https://www.nutspublishing.com/eshop/image/cache/data/logo/logo_nuts-230x230.jpg
178,Fantasy Flight Games,https://cdn1.philibertnet.com/c/64-category_default/fantasy-flight-games.jpg
179,Z-Man Games,
180,Fun Consortium,
181,Gameworks,
182,Ferti,
183,Morning Family,
184,Old Casa Games,
185,Pink Monkey Games,
186,Tactic,
187,Buzzy Games,https://buzzygames.net/wp-content/uploads/2020/10/Logo-BUZZY-bleu.png
188,Capsicum Games,
189,Cool Mini or Not,
190,Chouic,
191,La Haute Roche,
192,Ludact,
193,404 Editions,https://cf.geekdo-images.com/Sdan0Xj7oc6F_RuNL1xGlA__itemrep/img/gAe6AHf2fpQlbJdv8dteXOuQKi0=/fit-in/246x300/filters:strip_icc()/pic6553140.jpg
194,Editions Pera,
195,Ludarden,
196,Arborel,
197,Ducale,
198,Live Corp,
199,Sorry we are french,https://sorryweare.fr/logo.png
200,Bragelonne,
201,Don't Panic Games,https://www.dontpanicgames.com/wp-content/uploads/2021/01/logo-dpg-m.png
202,DTDA,
203,Maze Games,
204,Weelingua,
205,A.L.F.,
206,Grrre Games,https://boutique.lepalaisdemidgard.fr/wp-content/uploads/2021/10/grrre-games.png.webp
207,Lifestyle boardgames,https://www.jeuxdenim.be/images/sites/LifestyleBoardgames-2020-12-27-13-36-27.jpg
208,Débâcle jeux,https://debacle.fr/wp-content/uploads/2018/12/logo-debacle-WEB-500px.jpg
209,Surfinmeeple,
210,Game Brewer,
211,Flatlined Games,
212,Oka Luda,https://okaluda.fr/wp-content/uploads/2018/10/cropped-logo-nicofinal-FOND-TRANSPARENT.png
213,2 Tomatoes,https://cf.geekdo-images.com/J75yixxxfJewzxmDlW8pjQ__itemrep/img/Qtt8dvoFQZTxaEV1O9Q0TcuYLcY=/fit-in/246x300/filters:strip_icc()/pic2935671.png
214,Smile Life,https://static.wixstatic.com/media/471cb5_aaaca5cc12ae490e8a6e88f3f3dec10d~mv2_d_2481_1608_s_2.png
215,Subverti,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2019/12/subverti.png
216,Ludo.tech,
218,Aurora,
219,Les éditions de base,http://www.tutemetscombien.fr/wp-content/uploads/2018/06/logo-TTMC-accroche.png
220,Faire Play Editions,
221,Spin Master,
222,Schmidt Spiele,https://www.schmidtspiele.de/files/layout/logo.png
223,Studio H,https://cf.geekdo-images.com/IALiXfLAr4S63_BiaUo5Mw__itemrep/img/23zI646WO5CpzpvaLyLHaOKo0fM=/fit-in/246x300/filters:strip_icc()/pic4972566.jpg
224,DV Giochi,https://www.dvgiochi.com/img/dVGames_logo.png
225,Sylex Edition,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2020/02/sylex.png
226,Game Factory,
227,Delicious games,
228,Loki,https://loki-kids.com/wp-content/uploads/2017/11/logo-loki-final.png
229,Funny Fox,https://funnyfox.fr/wp-content/uploads/sites/21/2019/09/FunnyfoxNEW3-1024x715.png
230,Holy Grail,https://ludovox-fr.exactdn.com/wp-content/uploads/2023/02/up_Holygrailend.jpg?strip=all&lossy=1&ssl=1
231,Oink Games,https://cf.geekdo-images.com/gFvFfiTTQdDLYCZY5fpNyg__itemrep/img/TsVn2_P8NX3F5INlblEIVUkSbYo=/fit-in/246x300/filters:strip_icc()/pic4137364.jpg
232,Ludiconcept,
233,Mandoo Games,https://www.delijeux.com/sites/default/files/styles/medium/public/field-images/editeur/unnamed.jpg
235,I{Cœur}Games,
236,Sand Castle Games,
237,Kosmos,
238,Explor8,https://www.jeuxdenim.be/images/sites/Explor8-2020-02-02-11-52-08.jpg
239,KYF Editions,https://kyf-edition.com/wp-content/uploads/2024/04/Logo_KYF_EDITION.webp
240,Magilano,
241,Big Potato Games,https://cdn.shopify.com/s/files/1/0525/4565/0856/files/big-potato-logo-hr_26556f52-a999-41e1-8b7d-9ab0b99811f3.png
243,Ludistri,https://ludistri.fr/medias-ludistri/logo_ludistri.jpg
244,Borderline éditions,http://borderlineeditions.com/images/borderline.jpg
245,Jyde,
246,Le lapin sigma,
247,Ouimba Games,
248,Arkada Studio,https://images.squarespace-cdn.com/content/v1/65f6ee2fdfc1a4278a3c0a80/5fa7fbf8-e4e4-4f29-9143-e7728bb47036/Arkada+Studio+2024+avec+contour.png?format
249,Pétard Troll,
250,OTBA,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2025/04/OTBA_RVB_Horiz.png
251,Capitaine Meeple,https://www.capitainemeeple.com/wp-content/uploads/2021/08/LOGO_CM_horizontal_bleu-250x103.png
252,Huch!,
253,Granna,https://cdn.1j1ju.com/thumbs/logo-lg-webp/medias/88/b2/23-logo-granna.webp
254,Darucat,https://ik.imagekit.io/heredity/www/tr:w-250/logo_79BIFnXMaG.png
255,Alternative Shift,
256,Poptalks,https://cdn10.trictrac.net/trictrac/9d/07/c3845e891a13be30da24a6375904170d18c20e04ed943b48c3208c3e5eb7.jpeg
257,Cheesecake,
258,Bières et Cookies à 10h21,
259,Ice Makes,
261,Gate on Games,
262,Oppi,
264,Mythic Games,
265,Helvetiq,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2023/04/helvetiq.png
267,Les éditions du Crapaud Céleste,
268,ATM Gaming,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-jM9Bo1zngcRuftuPxwcBq2vORnHIyyZtxQ&s
269,Spiral édition,https://www.atmgaming.eu/wp-content/uploads/2022/04/ATM_Logo.svg
270,Multivers,https://subverti.com/assets/img/maps/publishers/spiral-editions/logo.webp
271,Winning Moves,https://cf.geekdo-images.com/rZSBwfRKdt54FaWCGT2xSA__itemrep/img/ta0mDGFEfq901evcV2ANwzvJFKo=/fit-in/246x300/filters:strip_icc()/pic6158179.jpg
272,Nostromo Editions,https://www.winningmoves.fr/wp-content/uploads/2022/04/Logo-Winning-Moves.png
273,Olibirus,https://i0.wp.com/nostromo-editions.com/wp-content/uploads/2021/04/Logo-generique-noir.png?fit=3000%2C1000&ssl=1
274,Old Hen Games,
275,Palladis Games,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8oSZZOwNRFyDAVimh_syBHOySzL614sn1Mw&s
276,Riviera Games,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2023/04/palladis_games.png
278,Cosmoludo,
279,Ludically,https://www.ludifolie.com/img/m/415-large_default.jpg
280,Ghost Dog Games,http://www.ludically.com/wp-content/uploads/2021/05/191383818_773693809959087_8264062586909937883_n-300x99.png
281,Cartamundi,http://ghostdoggames.com/wp-content/uploads/2021/10/Logo_Noir_Blanc_Fond-1.png
283,Auzou,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTziVRy0Wyj6-gHNBTLXpjgUcEWhwpfJK63jg&s
284,Betula,https://www.auzou.fr/img/prestashop-logo-1624440119.jpg
285,Ajax Games,https://momes-ecompagnie.com/img/m/8.jpg
286,Azao Games,https://cdn1.philibertnet.com/c/9184-category_default/ajax-games.jpg
287,Captain Games,
288,GDM Games,
289,Grammes édition,
290,Hot Macaco,
291,Kloster Games,
292,La Rose Noire,
293,Legacy of Crown,
295,Yoka By Tsume,
297,Goula,
298,Open World Editions,https://www.lesjouetsenbois.com/images/logo.png
299,Zacatrus,https://openworldeditions.com/wp-content/uploads/2022/09/OpenWorld_logoTransparent_white-150x118.png
300,Puzzle Michèle Wilson - PMWD ,https://static.zacatrus.com/version1678636716/frontend/zaca/z2023/fr_FR/images/logo.svg
301,Mindtwister,https://puzzlemichelewilson.com/cms-cache/FR-LOGO.png
302,Huch & Friends !,https://cf.geekdo-images.com/T8wqToUv4K6oWRWEnqiq8g__itemrep/img/Af5QqGnevFqtNPXx6Q_HtU1puRM=/fit-in/246x300/filters:strip_icc()/pic1050905.jpg
303,Placentia Games,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/HUCH_Logo_blau_RZ_17_300dpi.jpg/250px-HUCH_Logo_blau_RZ_17_300dpi.jpg
304,Benjamin Roucayrol,https://postscriptum-games.it/wp-content/uploads/2019/05/PostScriptum-Placentia-300x192.jpg
305,This way editions,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTrB8MPLyKQ-CiUoio2-qdgs82jH7ZJ_-94A&s
306,Association du Festival du Jeu de Montpellier,https://thiswayeditions.com/wp-content/uploads/2021/07/cropped-ThisWayLogo-550.png
308,Editions Napoléon,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2019/11/cropped-logo_FJM_FINAL_160.png
309,Itanooki,https://media1.sebio.fr/c/4595-medium_default/xnapoleon-editions.jpg.pagespeed.ic.VMv_ramTfy.webp
310,Runaway Parade Games,https://scontent-mrs2-2.xx.fbcdn.net/v/t39.30808-6/309847241_433704705560118_8949074585674925956_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=09cbfe&_nc_ohc=Y7G1
311,Nothing But Games,https://images.squarespace-cdn.com/content/v1/5afc5c6be2ccd15d50b0f819/535ae20d-9f07-4ba5-9324-b88d70b7ab76/LogoColor.png?format=1500w
312,Exploding Kittens,"https://static.wixstatic.com/media/c79105_c2d6f6164f7240488122784a6c4b8ec9~mv2.jpg/v1/fill/w_978,h_620,al_c,q_85,enc_auto/Site%20en%20construction%20-"
313,Synapse Game,https://th.bing.com/th?id=OIP.lmwyhwkn6Lvc9lYPo4am6AHaHa&w=250&h=250&c=8&rs=1&qlt=90&o=6&pid=3.1&rm=2
316,Hurrican Games,https://jeuxsynapsesgames.com/wp-content/themes/synapses-games/images/synapses-games-logo.svg
317,Zman Games,https://hurricangames.com/wp-content/uploads/2022/07/hurricangames-logo-coin-850x650-1.png
318,Rebel Studio,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkfQW3S6WIGLNV2P4_dFdIx3kXyBNTH_UzhKqWbpeAXw&s
319,Space Cow,https://cf.geekdo-images.com/UIiwFsGSvHccjqu0701soQ__itemrep/img/r9KY44PIt1BI3jLjSSY941HRxMA=/fit-in/246x300/filters:strip_icc()/pic5913945.png
320,Zygomatic,https://plateaumarmots.fr/wp-content/uploads/2018/07/Logo_Space_Cow.jpg
321,Lubee,https://www.zygomatic-games.com/wp-content/uploads/2022/03/logo_zygomatic_couleur.jpg
322,KPM Studios,https://www.lubee-edition.com/cdn/storage/localized-configs-files/LJz3N8a74XM4CQHwa/original/LJz3N8a74XM4CQHwa.png
323,DGT,https://legacyofthecrown.com/images/title.webp
324,Critical Hut,https://digitalgametechnology.com/assets/images/logo.svg?id=1c0ecdaa94b1caeac615
325,Linclusif,https://www.festivaldujeu-montpellier.org/piscine/assets/images/CH_Icon_rgb
326,PlayPunk,https://linclusif.fr/wp-content/uploads/2022/02/linclusif-Inline-Logo.svg
328,Pyxidice,https://cf.geekdo-images.com/HKpfJMHyviAynfHeOXrJOg__itemrep/img/AIoTyZgU6DbLX7HkhflKOk6qQiM=/fit-in/246x300/filters:strip_icc()/pic7638939.png
329,Al Wirzo,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2024/04/pyxidice.png
330,Rouge Neige,https://ddnvb5fufqb8o.cloudfront.net/display/92198aa5f45a34beef05924a2059bfb840bb28eb/thumbnail/180x180/avatars/2023/02/08/logo-carre.jcW7bODlWV.png
331,Savana,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2024/03/rougeneige.png
332,Next Move,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTU8vR_wxC3I4-NsHIOgUeY2xAk63veOKIzDQ&s
333,Yaqua Studio,https://cdn.svc.asmodee.net/production-nextmove/uploads/sites/4/2024/04/Logo_Next_move-1.svg
334,Aspic Games,"https://static.wixstatic.com/media/46010f_597e9093425242719d748c70724dfdbc~mv2.png/v1/fill/w_119,h_45,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo-yaqua"
335,Bad Boom Games,https://aspicgames.fr/wp-content/uploads/2023/07/Aspic_Games_White_LOGO.png
336,inPatience,https://www.neoludis.com/wp-content/uploads/2024/02/badboomgames_logo-300x300.png
337,Laboludic,https://trukmuchspot.fr/wp-content/uploads/2019/05/Editeur-Logo-InPatience-300x300.png
338,Arkham Society,https://www.laboludic.com/img/laboludic-logo-1591783379.jpg
339,Musoka Studio,
340,Celtic Tales,"https://static.wixstatic.com/media/4b8b39_3d1dab1445d14d849f48432a0fb7405f~mv2.png/v1/fill/w_117,h_117,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/4b8b39_3d"
341,Editions Lourdeur,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2025/04/celtic_tales.png
342,Rose Noire Edition,https://cdn2.philibertnet.com/c/15955-category_default/editions-lourdeur.jpg
343,Occicat Games,
344,Theta World,https://www.occicat.com/wp-content/uploads/2020/10/cropped-4_logo_occicat_master_rvb-1024x1024.png
345,Les Editions du Genepi,
346,Piatnik,https://assets-global.website-files.com/5f9e8c17d5fd037de6f10adf/65ccd26a0963f78916fc83a7_LOGO_petrole_RVB%201.svg
347,Garajeux,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZrsUqkeJhXN-LMF6t_BM5V6ZZlF2UtnWfn5qYTuWGww&s
348,Happy Baobab,"https://static.wixstatic.com/media/8398cc_ad5c42a3abb445e6adae5d0699d21599~mv2.png/v1/fill/w_415,h_487,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo%2520"
349,Joodini editions,https://cdn1.philibertnet.com/c/10280-category_default/happy-baobab.jpg
350,Arthory,https://www.joodini.com/wp-content/uploads/2022/05/cropped-joodini_couleurs2.png
351,Sidekick Games,"https://static.wixstatic.com/media/cf983b_d9c596a1777c485eb8bb5eb6323c74d2~mv2.png/v1/fill/w_121,h_65,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo%20ref"
352,Kanare-abstract,https://www.sidekickgames.co.uk/resources/35229387_825955467615210_1058547183189491712_o.png
353,Korea Boardgames,https://kanare-abstract.com/cdn/shop/files/Kanare_Abstract_logo_9193ba8c-2576-42d8-ad75-97a1c3755cfc.png?v=1655034412&width=500
354,Actarus Éditions,https://cdn.1j1ju.com/thumbs/logo-lg-webp/medias/e3/65/f0-logo-korea-boardgames-co-ltd.webp
355,Lookout Games,https://www.agorajeux.com/img/m/411.jpg
356,Teeturtle,https://www.espritjeu.com/upload/image/-image-88339-grande.jpg
358,Office Dog,https://www.espritjeu.com/upload/image/-image-86614-grande.jpg
359,DS4Games,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIVfd7dk7Zk-2acW7j9Z2fJ_mmoM-UPdsD6Axzy6kcNNnsjcUxWSCX-dR6fcL7r0oLGtg&usqp=CAU
360,Board Game Arena,https://cdn3.philibertnet.com/c/16576-category_default/ds4-games.jpg
362,Enigami,https://ludovox-fr.exactdn.com/wp-content/uploads/2016/07/UP-Board-game-arena-BGA-Ludovox-Jeu-de-soci--t--.png
363,Bakakou,
364,AEG - Alderac Games,https://subverti.com/assets/img/maps/publishers/bakakou/logo.webp?v=1743520733
365,Pegasus Spiele,https://www.alderac.com/wp-content/uploads/elementor/thumbs/cropped-aeglogo-q2vw7mpj2r596izgsuk5ackbl4gudlym5yqma8jvq0.png
366,Métropole de Montpellier,https://pegasus.de/media/vector/8e/62/0b/Peg_Log_Hor_Duo_Neg_1201.svg
367,Association Jeux et histoire,https://www.montpellier3m.fr/sites/default/files/theme_zen_site_3m_0.jpg
368,Olémains Games,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHNYRgnBEffS84eregSvepmltN59geCcU74A&s
369,Widyka,https://cdn.1j1ju.com/thumbs/logo-md/medias/e2/c8/4a-olemains-le-coup-du-lapin-logo.jpg
370,NeverEnding,https://widyka.com/wp-content/uploads/2023/06/Widyka_Logo.png
371,Ætherscape,https://ohmonjeu.com/cdn/shop/files/ohmondieu-logo.png?v=1737026324&width=220
372,utilepourvous,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUzXjKOJKkwN1FWzfErCieJy1Q5c-VnwCVGg&s
373,Ma petite Fratrie,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2025/04/Utile_pour_vous_logo2.jpg
374,Goupille,https://ma-petite-fratrie.fr/wp-content/uploads/2023/03/cropped-Logo-Final-color-1920x895.png
375,Hiboutatillus,https://goupille-store.com/cdn/shop/files/Fichier_2.png?v=1666879356&width=200
376,Les Tontons Joueurs,https://cdn.dorik.com/61f267921ef20c00110744af/61f267ca1ef20c00110744b3/images/2019_BMC_LOGO-HIBOUTATILLUS-RVB_72dpi_20ihad5s.png
377,Big Moustache Games,https://wordpress.blackrockgames.fr/wp-content/uploads/2022/11/Capture-decran-2022-11-15-a-11.10.58-229x300.png
378,Thundergryph Games,https://blackrockgames.fr/upload/editor/350_20241022162649.png
379,Spielwiese,https://blackrockgames.fr/upload/editor/350_20210106094040.png
380,Blue Table - Neoludis,https://wordpress.blackrockgames.fr/wp-content/uploads/2022/11/Spielwiese-290x300.png
381,Pok'In Games,https://neoludis.com/wp-content/uploads/2021/03/logo-neoludis-web-80x80.png
382,Achète ma merde !,https://pokilejeu.fr/img/logo-1708377638.jpg
383,Ludogamie,https://cdn.sumup.store/shops/24205972/settings/th480/e30a2b86-d7dc-4d2e-8b1e-d46e1fb11542.png
384,Platypus Game,https://images.squarespace-cdn.com/content/v1/6574502c8e6d4445cf96f5ef/928e853b-0521-46c3-a187-d49941b5dad9/logo-ludogamie-base.png?format=1500w
385,Je suis d'ailleurs,"https://static.wixstatic.com/media/cf6fdc_4099e620e3f14ace8e2cf9fd811c65b8~mv2.png/v1/fill/w_460,h_472,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo-plat"
386,Tribuo,https://cdn.sender.net/email_images/342933/images/all/logo_jesuisdailleurs_noir.png
387,Boxabonheur,https://cdn.myportfolio.com/ded15c88-92f7-4fc1-b217-22fec86043c2/23782731-55b4-4195-8a7f-c3032bb7b461_rw_1920.png?h=20dc1b9ccb0bef9c989406f1271df8b5
388,Sortons Jouer - Proto,https://boxabonheur.com/wp-content/uploads/2024/03/cropped-Logo-Boxabonheur-1.png
389,Sortons Jouer - Tables invitées,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2019/11/cropped-logo_FJM_FINAL_160.png
390,Sortons Jouer - classiques,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2019/11/cropped-logo_FJM_FINAL_160.png
391,Sortons Jouer - concours Subverti,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2019/11/cropped-logo_FJM_FINAL_160.png
392,Sortons Jouer - Espace exposition,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2019/11/cropped-logo_FJM_FINAL_160.png
393,Le Coq Ludique,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2019/11/cropped-logo_FJM_FINAL_160.png
394,Fentasy,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2025/04/LeCoqLudique_Logo.jpeg
395,Final Score,
396,Wonderbow Games,https://cf.geekdo-images.com/79tVJ7mMUwuJP2f07s8Hsw__itemrep/img/Vf_3piP-mz78vW0PXNV_w3AOYxY=/fit-in/246x300/filters:strip_icc()/pic8649293.png
397,Moose Toys,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2025/04/wonderbow_games.png
398,Saashi & Saashi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUSTYxKAJQqN89aUDqU4UFlJ1Dr_pcV0zlmcL2F3D6yg&usqp=CAE&s
399,FlexiQ,https://trictrac.net/_next/image?url=https%3A%2F%2Fcdn10.trictrac.net%2Ftrictrac%2Fae%2Fdf%2F8aa5e4f2828bc7a8a3f753a43fe0ac8cc59d.png&w=750&q=75
400,Underdog Games,https://flexiqgames.com/wp-content/uploads/2023/03/logo.svg
402,Merle Editions,https://www.underdoggames.com/cdn/shop/files/UD_logo_basic_600x.png?v=1669074118
403,Spotgames,https://merle-editions.fr/modules/roy_customizer/upload/logo-normal-1.png
404,Pandor Games,http://www.spotgames.fr/wp-content/uploads/2017/09/logo-spot-sans-cercle-300x195.jpg
405,Zenagames,https://pandor-games.com/wp-content/uploads/2024/03/cropped-Logo_horizon_HQ_color.png
406,Chilifox Games,https://subverti.com/assets/img/maps/publishers/zenagame/logo.webp?v=1742061175
407,Randolph,https://cdn.1j1ju.com/thumbs/logo-lg-webp/medias/97/ab/b9-logo-chilifox-games.webp
408,Éditions Dérivantes,https://www.carnetsdeweekends.fr/wp-content/uploads/2023/09/logo-RANDOLPH.jpg
409,Book in game,https://www.gameontabletop.com/contenu/partners/polskar_le_jeu_d_expeditions/Editions%20derivantes.png
410,Rayon Alternatif,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2025/04/logo_book_in_game.png
411,Odonata éditions,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2025/04/rayon_alternatif_logo.png
412,Taurokk,https://i0.wp.com/odonata-editions.fr/wp-content/uploads/2024/05/1-Odonata_Logo_Final2.png?fit=350%2C250&ssl=1
413,Fanélia,
414,Alnomcys,https://www.ludifolie.com/img/m/393-large_default.jpg
415,Spectrum,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSI1wl0TWKazVnu79hyJ5gNKe6Tq1TXUk8nNA&s
416,Odonata editions ( a supprimer),https://editions-spectrum.fr/cdn/shop/files/Logo-Spectrum-Couleur-Transparent2.png?v=1685266660&width=600
417,Les Fondations de L'imaginaire,
418,Albi,https://www.myludo.fr/img/people/1712646023/150/bm/38408.png
419,Collective Adventure,https://cdn3.philibertnet.com/c/13749-category_default/albi.jpg
420,Fish in the Sea,https://subverti.com/assets/img/maps/publishers/collective-adventure/logo.webp?v=1744114749
421,Denkriesen,https://www.fishinthesea-editions.fr/wp-content/uploads/2024/01/Logo-Fish.png
422,Maxilud,https://www.denkriesen.com/cdn/shop/files/Main-Logo_440x.png